City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Ibra,OM,77.54,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
378,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
380,Isangel,VU,77.56,overcast clouds,-19.55,169.2667,Tanna Lodge
388,Santa Cruz,BO,71.06,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
393,Dingle,PH,78.48,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
397,Ilebo,CD,77.97,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
398,Basco,PH,75.49,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
401,Sur,OM,78.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
406,Richards Bay,ZA,78.37,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
416,Merta,IN,74.93,broken clouds,26.65,74.0333,V Resorts Ganthiya
418,Porlamar,VE,77.49,broken clouds,10.958,-63.8491,Hotel Bella Vista
437,Aswan,EG,76.82,clear sky,24.0934,32.907,Nuba Nile
444,Anito,PH,78.13,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
450,Trairi,BR,78.94,overcast clouds,-3.2778,-39.2689,janelas do mar
452,Kavieng,PG,79.27,heavy intensity rain,-2.5744,150.7967,Nusa Island Retreat
453,Honiara,SB,79.75,overcast clouds,-9.4333,159.95,Heritage Park Hotel
459,Begoro,GH,77.77,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
482,Rodrigues Alves,BR,71.78,overcast clouds,-7.738,-72.6509,Pousada Aconchego
483,San Juan Del Sur,NI,76.53,scattered clouds,11.2529,-85.8705,Nuestra Casa
489,Petatlan,MX,73.96,clear sky,17.5167,-101.2667,Hotel California Petatlán
494,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
498,Puerto Maldonado,PE,75.0,overcast clouds,-12.6,-69.1833,Wasai Hotel
514,Vao,NC,77.23,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
515,Marsh Harbour,BS,76.89,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
517,Taunggyi,MM,73.08,few clouds,20.7833,97.0333,True Treasure Hotel
518,Bulls,NZ,71.1,broken clouds,-40.1667,175.3833,Bulls Motel & Holiday Park
521,Capitao Poco,BR,73.17,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
523,Pasighat,IN,79.79,clear sky,28.0667,95.3333,Siang Guest House
530,Kolaras,IN,75.29,broken clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
