City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pinawa,CA,50.1489,-95.8811,19.83,91,100,5.73,overcast clouds
80,San Patricio,US,28.017,-97.5169,73.89,93,26,7.49,scattered clouds
81,Payo,ID,-3.7508,103.6372,82.8,67,98,3.56,overcast clouds
82,Bhaderwah,IN,32.9784,75.7186,52.18,78,71,4.27,broken clouds
83,Chapais,CA,49.7834,-74.8492,-13.22,100,78,3.89,broken clouds
84,Lompoc,US,34.6391,-120.4579,54.79,88,90,0.0,fog
85,Pangkalanbuun,ID,-2.6833,111.6167,82.35,82,100,5.32,moderate rain
86,Saint Peter,BB,13.25,-59.6167,77.56,74,33,19.89,scattered clouds
87,Ilulissat,GL,69.2167,-51.1,37.42,41,100,24.16,overcast clouds
88,Duliagaon,IN,27.3667,95.3167,82.27,44,2,1.48,clear sky
89,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.47,57,74,10.58,broken clouds
90,Kambja,EE,58.2335,26.696,12.42,84,90,8.05,light snow
91,Mindyak,RU,54.0231,58.7891,30.81,87,100,10.11,overcast clouds
92,Cosala,MX,24.4125,-106.6908,58.12,44,89,3.94,overcast clouds
93,Cidreira,BR,-30.1811,-50.2056,69.62,88,91,13.78,overcast clouds
94,Saumur,FR,47.3333,-0.25,37.89,92,52,13.4,broken clouds
95,Milkovo,RU,54.7167,158.6167,6.24,83,7,6.4,clear sky
96,Sumenep,ID,-7.0167,113.8667,79.56,84,100,12.24,moderate rain
97,Dakar,SN,14.6937,-17.4441,68.88,70,94,14.61,overcast clouds
98,Jackson,US,42.4165,-122.8345,41.04,93,90,3.44,fog
99,East London,ZA,-33.0153,27.9116,68.94,100,90,13.8,light rain
100,Buraydah,SA,26.326,43.975,75.79,21,2,14.47,clear sky
101,Rocha,UY,-34.4833,-54.3333,59.36,97,53,3.65,broken clouds
102,Khatanga,RU,71.9667,102.5,-23.94,96,100,11.88,overcast clouds
103,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,45,0,17.27,clear sky
104,Airai,TL,-8.9266,125.4092,66.97,87,100,2.15,overcast clouds
105,Kaitangata,NZ,-46.2817,169.8464,50.94,80,100,7.47,light rain
106,Georgetown,MY,5.4112,100.3354,88.9,64,20,11.5,few clouds
107,Chuy,UY,-33.6971,-53.4616,61.18,93,23,3.58,few clouds
108,Adrar,MR,20.5022,-10.0711,59.05,26,100,11.45,overcast clouds
109,Shimoda,JP,34.6667,138.95,53.71,74,100,13.13,overcast clouds
110,Udomlya,RU,57.8794,34.9925,4.8,93,97,6.73,overcast clouds
111,Poissy,FR,48.9333,2.05,40.48,92,75,1.99,broken clouds
112,Longyearbyen,SJ,78.2186,15.6401,19.24,68,75,11.5,light shower snow
113,Bilma,NE,18.6853,12.9164,64.56,19,4,14.83,clear sky
114,Hambantota,LK,6.1241,81.1185,89.94,70,75,3.44,broken clouds
115,Lingdong,CN,46.5669,131.1453,21.47,86,5,7.14,clear sky
116,Kruisfontein,ZA,-34.0033,24.7314,64.29,96,100,6.2,light rain
117,Faanui,PF,-16.4833,-151.75,81.41,62,69,11.86,broken clouds
118,Tetela De Ocampo,MX,19.8167,-97.8,54.75,88,4,4.43,clear sky
119,Medak,IN,18.0333,78.2667,83.3,39,0,6.29,clear sky
